CapitalOri,CapitalFin,HX
CiudaddeMexico,CiudaddeMexico,0
CiudaddeMexico,PuebladeZaragoza,150.881
CiudaddeMexico,Guadalajara,545.64
CiudaddeMexico,Monterrey,907.057
CiudaddeMexico,Chihuahua,1483.955
CiudaddeMexico,Merida,1332.644
CiudaddeMexico,Saltillo,837.967
CiudaddeMexico,Aguascalientes,490.023
CiudaddeMexico,Hermosillo,1904.538
CiudaddeMexico,Mexicali,2595.074
CiudaddeMexico,SanLuisPotosi,411.145
CiudaddeMexico,CuliacanRosales,1227.656
CiudaddeMexico,SantiagodeQueretaro,211.501
CiudaddeMexico,Morelia,301.383
CiudaddeMexico,VictoriadeDurango,907.643
CiudaddeMexico,TuxtlaGutierrez,853.507
CiudaddeMexico,XalapaEnriquez,314.173
CiudaddeMexico,Tepic,749.743
CiudaddeMexico,Cuernavaca,107.552
CiudaddeMexico,Villahermosa,770.068
CiudaddeMexico,CiudadVictoria,677.617
CiudaddeMexico,PachucadeSoto,85.03
CiudaddeMexico,OaxacadeJuarez,481.77
CiudaddeMexico,LaPaz,3958
CiudaddeMexico,SanFranciscodeCampeche,1153.528
CiudaddeMexico,ChilpancingodelosBravo,303.841
CiudaddeMexico,TolucadeLerdo,79.595
CiudaddeMexico,Chetumal,1344.394
CiudaddeMexico,Colima,731.745
CiudaddeMexico,Zacatecas,622.327
CiudaddeMexico,Guanajuato,356.398
CiudaddeMexico,TlaxcaladeXicohtencatl,156.329
PuebladeZaragoza,CiudaddeMexico,149.035
PuebladeZaragoza,PuebladeZaragoza,0
PuebladeZaragoza,Guadalajara,662.93
PuebladeZaragoza,Monterrey,1024.863
PuebladeZaragoza,Chihuahua,1601.761
PuebladeZaragoza,Merida,1196.506
PuebladeZaragoza,Saltillo,955.773
PuebladeZaragoza,Aguascalientes,607.829
PuebladeZaragoza,Hermosillo,2021.827
PuebladeZaragoza,Mexicali,2712.364
PuebladeZaragoza,SanLuisPotosi,528.951
PuebladeZaragoza,CuliacanRosales,1344.946
PuebladeZaragoza,SantiagodeQueretaro,329.307
PuebladeZaragoza,Morelia,418.673
PuebladeZaragoza,VictoriadeDurango,1025.449
PuebladeZaragoza,TuxtlaGutierrez,717.369
PuebladeZaragoza,XalapaEnriquez,183.735
PuebladeZaragoza,Tepic,867.033
PuebladeZaragoza,Cuernavaca,153.241
PuebladeZaragoza,Villahermosa,633.93
PuebladeZaragoza,CiudadVictoria,684.8
PuebladeZaragoza,PachucadeSoto,144.009
PuebladeZaragoza,OaxacadeJuarez,345.632
PuebladeZaragoza,LaPaz,4075
PuebladeZaragoza,SanFranciscodeCampeche,1017.39
PuebladeZaragoza,ChilpancingodelosBravo,285.651
PuebladeZaragoza,TolucadeLerdo,189.682
PuebladeZaragoza,Chetumal,1208.256
PuebladeZaragoza,Colima,849.035
PuebladeZaragoza,Zacatecas,740.133
PuebladeZaragoza,Guanajuato,474.204
PuebladeZaragoza,TlaxcaladeXicohtencatl,42.487
Guadalajara,CiudaddeMexico,545.632
Guadalajara,PuebladeZaragoza,665.356
Guadalajara,Guadalajara,0
Guadalajara,Monterrey,807.956
Guadalajara,Chihuahua,1216.116
Guadalajara,Merida,1847.119
Guadalajara,Saltillo,718.979
Guadalajara,Aguascalientes,222.184
Guadalajara,Hermosillo,1361.079
Guadalajara,Mexicali,2051.616
Guadalajara,SanLuisPotosi,330.04
Guadalajara,CuliacanRosales,684.198
Guadalajara,SantiagodeQueretaro,350.23
Guadalajara,Morelia,289.16
Guadalajara,VictoriadeDurango,639.804
Guadalajara,TuxtlaGutierrez,1367.982
Guadalajara,XalapaEnriquez,803.88
Guadalajara,Tepic,206.284
Guadalajara,Cuernavaca,608.592
Guadalajara,Villahermosa,1284.543
Guadalajara,CiudadVictoria,668.571
Guadalajara,PachucadeSoto,557.581
Guadalajara,OaxacadeJuarez,996.245
Guadalajara,LaPaz,3397
Guadalajara,SanFranciscodeCampeche,1668.003
Guadalajara,ChilpancingodelosBravo,804.881
Guadalajara,TolucadeLerdo,472.553
Guadalajara,Chetumal,1858.869
Guadalajara,Colima,189.741
Guadalajara,Zacatecas,354.488
Guadalajara,Guanajuato,278.867
Guadalajara,TlaxcaladeXicohtencatl,646.036
Monterrey,CiudaddeMexico,911.768
Monterrey,PuebladeZaragoza,1031.996
Monterrey,Guadalajara,813.815
Monterrey,Monterrey,0
Monterrey,Chihuahua,845.523
Monterrey,Merida,1970.017
Monterrey,Saltillo,92.746
Monterrey,Aguascalientes,587.662
Monterrey,Hermosillo,1723.096
Monterrey,Mexicali,2148.31
Monterrey,SanLuisPotosi,521.193
Monterrey,CuliacanRosales,1046.215
Monterrey,SantiagodeQueretaro,717.157
Monterrey,Morelia,835.496
Monterrey,VictoriadeDurango,587.618
Monterrey,TuxtlaGutierrez,1490.88
Monterrey,XalapaEnriquez,908.102
Monterrey,Tepic,1054.612
Monterrey,Cuernavaca,999.057
Monterrey,Villahermosa,1407.441
Monterrey,CiudadVictoria,286.816
Monterrey,PachucadeSoto,924.221
Monterrey,OaxacadeJuarez,1362.886
Monterrey,LaPaz,3509
Monterrey,SanFranciscodeCampeche,1790.901
Monterrey,ChilpancingodelosBravo,1195.346
Monterrey,TolucadeLerdo,896.212
Monterrey,Chetumal,1981.767
Monterrey,Colima,1003.158
Monterrey,Zacatecas,468.651
Monterrey,Guanajuato,699.869
Monterrey,TlaxcaladeXicohtencatl,1012.676
Chihuahua,CiudaddeMexico,1475.385
Chihuahua,PuebladeZaragoza,1595.613
Chihuahua,Guadalajara,1206.161
Chihuahua,Monterrey,837.272
Chihuahua,Chihuahua,0
Chihuahua,Merida,2777.376
Chihuahua,Saltillo,752.58
Chihuahua,Aguascalientes,980.008
Chihuahua,Hermosillo,894.899
Chihuahua,Mexicali,1194.071
Chihuahua,SanLuisPotosi,1043.574
Chihuahua,CuliacanRosales,1162.991
Chihuahua,SantiagodeQueretaro,1271.871
Chihuahua,Morelia,1299.055
Chihuahua,VictoriadeDurango,704.394
Chihuahua,TuxtlaGutierrez,2298.239
Chihuahua,XalapaEnriquez,1734.136
Chihuahua,Tepic,1171.388
Chihuahua,Cuernavaca,1562.674
Chihuahua,Villahermosa,2214.8
Chihuahua,CiudadVictoria,1112.833
Chihuahua,PachucadeSoto,1487.838
Chihuahua,OaxacadeJuarez,1926.502
Chihuahua,LaPaz,2535
Chihuahua,SanFranciscodeCampeche,2598.26
Chihuahua,ChilpancingodelosBravo,1758.962
Chihuahua,TolucadeLerdo,1459.318
Chihuahua,Chetumal,2789.126
Chihuahua,Colima,1395.504
Chihuahua,Zacatecas,856.93
Chihuahua,Guanajuato,1167.783
Chihuahua,TlaxcaladeXicohtencatl,1576.292
Merida,CiudaddeMexico,1340.453
Merida,PuebladeZaragoza,1201.587
Merida,Guadalajara,1854.348
Merida,Monterrey,1976.779
Merida,Chihuahua,2793.179
Merida,Merida,0
Merida,Saltillo,2054.955
Merida,Aguascalientes,1799.247
Merida,Hermosillo,3213.246
Merida,Mexicali,3903.782
Merida,SanLuisPotosi,1720.369
Merida,CuliacanRosales,2536.364
Merida,SantiagodeQueretaro,1520.726
Merida,Morelia,1610.091
Merida,VictoriadeDurango,2216.867
Merida,TuxtlaGutierrez,811.104
Merida,XalapaEnriquez,1158.013
Merida,Tepic,2058.451
Merida,Cuernavaca,1357.414
Merida,Villahermosa,563.592
Merida,CiudadVictoria,1702.619
Merida,PachucadeSoto,1335.427
Merida,OaxacadeJuarez,1370.069
Merida,LaPaz,5252
Merida,SanFranciscodeCampeche,179.531
Merida,ChilpancingodelosBravo,1489.824
Merida,TolucadeLerdo,1381.101
Merida,Chetumal,382.763
Merida,Colima,2040.453
Merida,Zacatecas,1931.551
Merida,Guanajuato,1665.622
Merida,TlaxcaladeXicohtencatl,1229.862
Saltillo,CiudaddeMexico,838.139
Saltillo,PuebladeZaragoza,958.367
Saltillo,Guadalajara,727.244
Saltillo,Monterrey,89.335
Saltillo,Chihuahua,758.518
Saltillo,Merida,2048.097
Saltillo,Saltillo,0
Saltillo,Aguascalientes,501.091
Saltillo,Hermosillo,1636.092
Saltillo,Mexicali,1909.469
Saltillo,SanLuisPotosi,447.564
Saltillo,CuliacanRosales,959.21
Saltillo,SantiagodeQueretaro,643.527
Saltillo,Morelia,761.867
Saltillo,VictoriadeDurango,500.613
Saltillo,TuxtlaGutierrez,1568.96
Saltillo,XalapaEnriquez,1096.891
Saltillo,Tepic,967.608
Saltillo,Cuernavaca,925.428
Saltillo,Villahermosa,1485.521
Saltillo,CiudadVictoria,364.896
Saltillo,PachucadeSoto,850.592
Saltillo,OaxacadeJuarez,1289.256
Saltillo,LaPaz,3262
Saltillo,SanFranciscodeCampeche,1868.981
Saltillo,ChilpancingodelosBravo,1121.716
Saltillo,TolucadeLerdo,822.582
Saltillo,Chetumal,2059.847
Saltillo,Colima,916.587
Saltillo,Zacatecas,382.08
Saltillo,Guanajuato,626.24
Saltillo,TlaxcaladeXicohtencatl,939.047
Aguascalientes,CiudaddeMexico,491.295
Aguascalientes,PuebladeZaragoza,611.523
Aguascalientes,Guadalajara,222.071
Aguascalientes,Monterrey,580.043
Aguascalientes,Chihuahua,988.203
Aguascalientes,Merida,1793.286
Aguascalientes,Saltillo,491.067
Aguascalientes,Aguascalientes,0
Aguascalientes,Hermosillo,1547.353
Aguascalientes,Mexicali,2139.154
Aguascalientes,SanLuisPotosi,160.8
Aguascalientes,CuliacanRosales,870.472
Aguascalientes,SantiagodeQueretaro,287.782
Aguascalientes,Morelia,314.966
Aguascalientes,VictoriadeDurango,411.891
Aguascalientes,TuxtlaGutierrez,1314.149
Aguascalientes,XalapaEnriquez,750.047
Aguascalientes,Tepic,426.174
Aguascalientes,Cuernavaca,578.584
Aguascalientes,Villahermosa,1230.71
Aguascalientes,CiudadVictoria,499.331
Aguascalientes,PachucadeSoto,503.748
Aguascalientes,OaxacadeJuarez,942.413
Aguascalientes,LaPaz,4484
Aguascalientes,SanFranciscodeCampeche,1614.17
Aguascalientes,ChilpancingodelosBravo,774.873
Aguascalientes,TolucadeLerdo,475.228
Aguascalientes,Chetumal,1805.036
Aguascalientes,Colima,411.414
Aguascalientes,Zacatecas,126.575
Aguascalientes,Guanajuato,183.694
Aguascalientes,TlaxcaladeXicohtencatl,592.203
Hermosillo,CiudaddeMexico,1925.44
Hermosillo,PuebladeZaragoza,2045.164
Hermosillo,Guadalajara,1382.788
Hermosillo,Monterrey,1744.326
Hermosillo,Chihuahua,908.886
Hermosillo,Merida,3226.927
Hermosillo,Saltillo,1659.634
Hermosillo,Aguascalientes,1569.211
Hermosillo,Hermosillo,0
Hermosillo,Mexicali,686.615
Hermosillo,SanLuisPotosi,1632.777
Hermosillo,CuliacanRosales,726.887
Hermosillo,SantiagodeQueretaro,1730.038
Hermosillo,Morelia,1668.968
Hermosillo,VictoriadeDurango,1160.155
Hermosillo,TuxtlaGutierrez,2747.79
Hermosillo,XalapaEnriquez,2183.688
Hermosillo,Tepic,1179.29
Hermosillo,Cuernavaca,1988.401
Hermosillo,Villahermosa,2664.351
Hermosillo,CiudadVictoria,1964.44
Hermosillo,PachucadeSoto,1937.389
Hermosillo,OaxacadeJuarez,2376.054
Hermosillo,LaPaz,2038
Hermosillo,SanFranciscodeCampeche,3047.811
Hermosillo,ChilpancingodelosBravo,2184.689
Hermosillo,TolucadeLerdo,1852.361
Hermosillo,Chetumal,3238.677
Hermosillo,Colima,1543.155
Hermosillo,Zacatecas,1446.132
Hermosillo,Guanajuato,1658.675
Hermosillo,TlaxcaladeXicohtencatl,2025.844
Mexicali,CiudaddeMexico,2596.288
